CNES,NOME FANTASIA,UF,MUNICIPIO
7072449,UNIDADE SAUDE DA FAMILIA BAIRRO PROGRESSO,SC,SAO MIGUEL DO OESTE
7084838,CONSULTORIO DE PSICOLOGIA TAMARA CARINA OLKOWSKI,SC,XANXERE
7081502,URC RM,SC,CRICIUMA
5799201,LITOCENTER,SC,CURITIBANOS
5322308,DILOR GIANI JUNIOR,SC,CURITIBANOS
5256062,DR MARCELO RICARDO DE OLIVEIRA,SC,CURITIBANOS
6666574,CRAVI,SC,CURITIBANOS
6507530,11 GERSA GERENCIA REGIONAL DE SAUDE,SC,CURITIBANOS
5433118,APAE ASSOCIACAO DE PAIS E AMIGOS DOS EXCEPCIONAIS,SC,CURITIBANOS
3266508,CLINICA EQUILIBRIO VITAL,SC,CURITIBANOS
5322316,JULIANA RODRIGUES MARTINS GIANI,SC,CURITIBANOS
5168090,DR CESAR DOS SANTOS CASTRO,SC,CURITIBANOS
5260930,DR EDUARDO DO PRADO,SC,CURITIBANOS
5685079,DR RICARDO BARBOSA DOURADO,SC,CURITIBANOS
5218756,MARLEI LUIZ PERDONCINI,SC,CURITIBANOS
3339777,LABORATORIO DE ANALISES CLINICAS CONCEITO SC LTDA,SC,CURITIBANOS
3831450,POSTO DE SAUDE SAO LUIZ,SC,CURITIBANOS
3999254,DR LUIZ CARLOS DE ASSIS,SC,CURITIBANOS
5733804,CICLUS CLINICA DE FISIOTERAPIA,SC,CURITIBANOS
6095011,DR ALTINO LEMOS DE FARIAS,SC,CURITIBANOS
5145414,DR AIRTON LUIZ GUIDI,SC,CURITIBANOS
5107571,CENTRO TERAPEUTICO ALTERVIDA,SC,CURITIBANOS
5008328,DR DAVID MELO,SC,CURITIBANOS
4059018,CLIN SERRA,SC,CURITIBANOS
6338127,DR RAFAEL FELIPE RIBEIRO CANTARUTTI,SC,CURITIBANOS
6440738,DRA YELA FRANCO SCUR,SC,CURITIBANOS
5260949,DR GUSTAVO ADOLFO RODRIGUES DE MIRANDA,SC,CURITIBANOS
5145384,DR NELSON NOGUEIRA,SC,CURITIBANOS
5252725,DR GILMAR KRUKER,SC,CURITIBANOS
5218780,EDSON MAURO DA SILVA,SC,CURITIBANOS
4058968,PROGRAMA MUNICIPAL DE SAUDE BUCAL,SC,CURITIBANOS
5145430,DR SERGIO OGLIARI,SC,CURITIBANOS
5062063,PSICOCLIN CLINICA DE PSICOTERAPIA E PSICANALISE,SC,CURITIBANOS
3000001,IMED,SC,CURITIBANOS
6346898,DRA SANI TOSCAN,SC,CURITIBANOS
5252709,DR ALBARI GOETEN DE MORAES,SC,CURITIBANOS
6393640,DRA ANA CRISTINA SORDI,SC,CURITIBANOS
5307295,ANDREA NANCY PONTES GOMES,SC,CURITIBANOS
6470815,PATRICIA NASINIAKI SAQUET,SC,CURITIBANOS
4058976,CLINICA HEMODIALISE DE CURITIBANOS LTDA,SC,CURITIBANOS
5008387,DR ALZANI ADRIANO SCUR,SC,CURITIBANOS
3869113,CLINIAL CLINICA DE AUDICAO E LINGUAGEM,SC,CURITIBANOS
6408540,DR ADRIANO CAMPOS,SC,CURITIBANOS
6390706,DRA ANA LIGIA FARIAS BELLOTTO,SC,CURITIBANOS
6729460,LABORATORIO DE PROTESE DENTAL MARCELO SPRICIGO,SC,CURITIBANOS
6577237,ADROALDO DOS SANTOS BOCHI,SC,CURITIBANOS
6559360,POSTO DE SAUDE FREI NARCISO POLLMEIER,SC,CURITIBANOS
3946835,DR SERGIO PASA,SC,CURITIBANOS
2302101,HOSPITAL HELIO ANJOS ORTIZ,SC,CURITIBANOS
3934845,IRIS XAVIER,SC,CURITIBANOS
3938549,DR JORGE LUIZ MORAES FRANKLIN,SC,CURITIBANOS
5218772,VALERIA MITTERHOFER,SC,CURITIBANOS
6811744,R F R C C,SC,CURITIBANOS
3970795,LUCI CARMEM MADUREIRA MONTRONI,SC,CURITIBANOS
3669289,CENTRO DE ATENCAO PSICOSSOCIAL,SC,CURITIBANOS
3970787,STELLA MARIS TEIXEIRA,SC,CURITIBANOS
3948250,DR AUREDY ANTONIO SELLA AGUIAR,SC,CURITIBANOS
6531865,SECRETARIA MUNICIPAL DE SAUDE DE CURITIBANOS,SC,CURITIBANOS
3978826,CLINICA MEDICA DR ODENIR JOSE BRIGHENTE,SC,DESCANSO
2551624,LUIZ CARLOS SODER,SC,DESCANSO
3984389,SIDNEI FERNANDO CEOLIN,SC,DESCANSO
6129781,APAE DE DESCANSO,SC,DESCANSO
6516173,SECRETARIA MUNICIPAL DE SAUDE DE DESCANSO,SC,DESCANSO
6699987,CLINIMED,SC,DESCANSO
2378922,CENTRO MUNICIPAL DE SAUDE DE DESCANSO,SC,DESCANSO
2378876,FUNDACAO MEDICA,SC,DESCANSO
2551616,AIRTON OLIVEIRA PACHECO,SC,DESCANSO
2551543,LUIZ CARLOS BOSCATTO,SC,DIONISIO CERQUEIRA
2822423,UNIDADE SAUDE DA FAMILIA IDAMAR,SC,DIONISIO CERQUEIRA
5333709,CLINICA PEDIATRICA DR JAIR MARAN,SC,DIONISIO CERQUEIRA
2378701,UNIDADE SAUDE DA FAMILIA SEDE DE DIONISIO CERQUEIRA,SC,DIONISIO CERQUEIRA
2378590,UNIDADE SAUDE DA FAMILIA SAO PEDRO TOBIAS,SC,DIONISIO CERQUEIRA
